dz_code,prov_code,prov_name,city_name,n_persons,n_surnames,hhi,top1_surname,top1_share,top2_surname,top2_share,top3_surname,top3_share,top4_surname,top4_share,top5_surname,top5_share
4117,41,河南省,驻马店市,7408,211,0.04567,王,0.109341,张,0.105697,李,0.099217,刘,0.06358,杨,0.043062
4201,42,湖北省,武汉市,12099,297,0.029088,李,0.070088,张,0.066617,王,0.063642,陈,0.057691,刘,0.056534
4202,42,湖北省,黄石市,3970,170,0.031248,刘,0.069018,陈,0.068766,王,0.066499,李,0.052141,柯,0.052141
4203,42,湖北省,十堰市,6556,226,0.031849,王,0.079927,张,0.074436,李,0.073978,陈,0.060555,刘,0.053996
4205,42,湖北省,宜昌市,7621,222,0.031481,李,0.09172,王,0.066395,张,0.057866,刘,0.055898,陈,0.053405
4206,42,湖北省,襄阳市,7475,236,0.034959,李,0.088161,王,0.082007,张,0.081739,刘,0.061672,陈,0.052977
4207,42,湖北省,鄂州市,1597,112,0.033485,陈,0.088291,张,0.079524,王,0.051346,刘,0.043832,夏,0.038823
4208,42,湖北省,荆门市,4490,187,0.033025,李,0.084855,张,0.07951,王,0.066147,刘,0.056793,陈,0.053007
4209,42,湖北省,孝感市,8248,199,0.032779,张,0.08499,李,0.070199,陈,0.066925,刘,0.064137,王,0.044011
4210,42,湖北省,荆州市,9535,219,0.031521,李,0.077189,刘,0.074672,张,0.066492,王,0.061772,陈,0.058521
4211,42,湖北省,黄冈市,9465,198,0.029051,王,0.080296,张,0.075753,李,0.050819,陈,0.050396,胡,0.041944
4212,42,湖北省,咸宁市,5375,158,0.031066,李,0.084651,王,0.058791,陈,0.053209,胡,0.053209,徐,0.047628
4213,42,湖北省,随州市,2875,161,0.02926,刘,0.06713,张,0.064,王,0.062261,李,0.061565,陈,0.058435
4228,42,湖北省,恩施土家族苗族自治州,4913,176,0.029699,李,0.069001,张,0.059027,杨,0.057399,向,0.048239,黄,0.047832
4290,42,湖北省,湖北直辖县市,5533,182,0.031699,张,0.082595,李,0.069221,王,0.060907,刘,0.056027,陈,0.048075
4301,43,湖南省,长沙市,9269,212,0.03176,李,0.086309,刘,0.079297,陈,0.051462,张,0.050383,周,0.047578
4302,43,湖南省,株洲市,5419,176,0.033926,刘,0.110352,陈,0.071969,李,0.046503,张,0.04355,周,0.041336
4303,43,湖南省,湘潭市,4970,147,0.037069,刘,0.095372,陈,0.065594,李,0.065392,张,0.057948,周,0.056942
4304,43,湖南省,衡阳市,10080,184,0.034505,刘,0.101885,李,0.075397,王,0.052976,陈,0.05129,罗,0.043056
4305,43,湖南省,邵阳市,9902,189,0.033971,刘,0.088265,李,0.075742,陈,0.053121,杨,0.05201,王,0.051404
4306,43,湖南省,岳阳市,7278,200,0.031423,李,0.08986,刘,0.060594,张,0.055098,周,0.054273,吴,0.050426
4307,43,湖南省,常德市,7516,205,0.026693,刘,0.071581,李,0.062134,陈,0.05016,张,0.049761,杨,0.045104
4308,43,湖南省,张家界市,2174,113,0.033258,吴,0.067157,李,0.063937,张,0.062098,王,0.058418,黄,0.048298
4309,43,湖南省,益阳市,5938,157,0.03512,刘,0.105591,王,0.073762,李,0.053217,陈,0.050522,张,0.04126
4310,43,湖南省,郴州市,7474,130,0.053281,李,0.155606,黄,0.078673,何,0.057667,陈,0.05673,刘,0.052047
4311,43,湖南省,永州市,6926,148,0.039271,唐,0.112186,陈,0.06685,李,0.05862,刘,0.058475,何,0.045914
4312,43,湖南省,怀化市,6839,162,0.043443,杨,0.133938,张,0.089633,李,0.058781,刘,0.048691,黄,0.04372
4313,43,湖南省,娄底市,5572,124,0.042657,刘,0.102118,李,0.096375,陈,0.071249,王,0.065327,谢,0.040919
4331,43,湖南省,湘西土家族苗族自治州,3883,134,0.047005,向,0.096317,张,0.094257,彭,0.07623,杨,0.071852,吴,0.066186
4401,44,广东省,广州市,42856,455,0.030986,陈,0.084796,李,0.069302,黄,0.066012,梁,0.046878,张,0.046645
4402,44,广东省,韶关市,19445,249,0.033372,陈,0.079609,李,0.078735,刘,0.074415,黄,0.053638,张,0.049833
4403,44,广东省,深圳市,26600,467,0.030223,李,0.07688,陈,0.073346,张,0.064135,刘,0.055639,黄,0.050451
4404,44,广东省,珠海市,7932,263,0.037558,陈,0.096571,黄,0.085603,李,0.068583,张,0.053959,梁,0.051942
4405,44,广东省,汕头市,20869,206,0.06952,陈,0.190091,林,0.109349,黄,0.067756,吴,0.053333,张,0.048876
4406,44,广东省,佛山市,20224,338,0.029946,陈,0.07407,李,0.073477,梁,0.064181,黄,0.058643,何,0.036244
4407,44,广东省,江门市,19703,230,0.037721,李,0.084556,陈,0.079074,黄,0.074202,梁,0.06867,吴,0.047759
4408,44,广东省,湛江市,24342,245,0.04869,陈,0.138074,黄,0.090009,李,0.078465,梁,0.051886,吴,0.050982
4409,44,广东省,茂名市,19693,195,0.044428,陈,0.114965,李,0.103235,黄,0.066927,梁,0.061494,张,0.049358
4412,44,广东省,肇庆市,22851,223,0.036679,陈,0.110236,梁,0.07597,李,0.065336,黄,0.065205,林,0.031202
4413,44,广东省,惠州市,14208,274,0.03498,陈,0.079955,黄,0.077492,李,0.068905,刘,0.066512,张,0.051872
4414,44,广东省,梅州市,24205,180,0.03859,李,0.087833,陈,0.073208,张,0.071638,刘,0.063251,黄,0.055939
4415,44,广东省,汕尾市,11461,159,0.046132,陈,0.121543,黄,0.082541,林,0.073554,李,0.050083,吴,0.0486
4416,44,广东省,河源市,13949,171,0.038401,黄,0.10861,陈,0.06151,刘,0.058929,叶,0.05771,李,0.046527
4417,44,广东省,阳江市,10226,165,0.041145,陈,0.09779,林,0.08097,黄,0.076667,李,0.068844,梁,0.053784
4418,44,广东省,清远市,21795,229,0.033388,黄,0.090158,陈,0.075201,李,0.064327,刘,0.046708,唐,0.037302
4419,44,广东省,东莞市,8944,323,0.029815,李,0.078041,陈,0.066972,张,0.06127,刘,0.060823,王,0.051431
4420,44,广东省,中山市,7207,264,0.033164,梁,0.076453,陈,0.071458,黄,0.069655,李,0.068128,刘,0.044124
4451,44,广东省,潮州市,9453,148,0.05152,陈,0.119116,林,0.095631,张,0.071935,吴,0.056913,刘,0.053951
4452,44,广东省,揭阳市,17723,158,0.077012,林,0.160074,陈,0.160018,黄,0.097049,吴,0.058455,张,0.054336
4453,44,广东省,云浮市,13850,175,0.041042,陈,0.12,李,0.069458,梁,0.066859,黄,0.065993,张,0.054874
4501,45,广西壮族自治区,南宁市,8804,205,0.047956,黄,0.158337,李,0.078146,陆,0.051227,覃,0.04532,梁,0.041572
4502,45,广西壮族自治区,柳州市,4583,176,0.034459,覃,0.107135,黄,0.071351,吴,0.052586,李,0.051931,杨,0.038185
4503,45,广西壮族自治区,桂林市,6870,213,0.026747,李,0.076565,唐,0.058079,周,0.042504,黄,0.042213,廖,0.040466
4504,45,广西壮族自治区,梧州市,4142,134,0.046982,李,0.110575,陈,0.107195,黄,0.097779,梁,0.046837,黎,0.046596
